환경성적표지 인증제품 유효현황(2021.12.22. 기준),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"○ 환경성적표지 유효현황 : 323개 기업, 1455개 제품(저탄소제품 95개 기업, 294개 제품 포함)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,자원발자국,,,,,,탄소발자국,,,,,,오존층영향,,,,,,산성비,,,,,,부영양화,,,,,,광화학 스모그,,,,,,물발자국,,,,,,,,,,,
연번,기업명,사업자등록번호,영향범주,인증번호,제품군,인증제품명,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,시작,종료,,,,
9,(주)포스코,506-81-00017,환경성적,2019-004,생산재,선재(냉간압조용 합금강),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01-25,2022-01-24,,,,
10,(주)포스코,506-81-00017,환경성적,2019-006,생산재,HGI(구조용),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01-25,2022-01-24,,,,
11,(주)포스코,506-81-00017,환경성적,2019-007,생산재,포스맥(Structural),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01-25,2022-01-24,,,,
12,(주)포스코,506-81-00017,환경성적,2019-008,생산재,DP강(980DP-H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01-25,2022-01-24,,,,
13,에스케이하이닉스(주),126-81-03725,환경성적,2019-011,생산재,1Z NAND Flash 128Gb TLC,,,,,,,7.17.E-01,kgCO2e/개,4.59.E-02,6.71.E-01,-,-,,,,,,,1.30.E-03,KgSO2e/개,2.67.E-04,1.03.E-03,-,-,5.69.E-04,kgPO43-e/개,2.15.E-04,3.54.E-04,-,-,,,,,,,1.56.E-02,m3H2Oe/개,4.20.E-04,1.51.E-02,-,-,2019-01-25,2022-01-24,,,,
14,에스케이하이닉스(주),126-81-03725,환경성적,2019-012,생산재,V3 NAND Flash 256Gb TLC,,,,,,,1.61.E+00,kgCO2e/개,9.14.E-02,1.51.E+00,-,-,,,,,,,2.07.E-03,KgSO2e/개,7.23.E-04,1.35.E-03,-,-,9.71.E-04,kgPO43-e/개,4.99.E-04,4.71.E-04,-,-,,,,,,,2.08.E-02,m3H2Oe/개,9.10.E-04,1.99.E-02,-,-,2019-01-25,2022-01-24,,,,
15,한국타올기산업(주),207-81-29548,환경성적,2019-017,에너지사용,전기 손 건조기(HTM-338),5.27.E+00,kgSbe/대,5.324.E-01,5.426.E-03,4.727.E+00,1.623.E-03,7.96.E+02,kgCO2e/대,3.981.E+01,8.238.E-01,7.476.E+02,7.785.E+00,5.45.E-06,kgCFC-11e/대,5.221.E-06,1.723.E-07,2.066.E-08,3.469.E-08,1.80.E+00,kgSO2e/대,5.255.E-01,2.876.E-03,1.264.E+00,3.572.E-03,2.64.E-01,kgPO43e/대,1.903.E-02,4.831.E-04,2.353.E-01,9.494.E-03,7.71.E-02,kgC2H4e/개,6.984.E-02,1.097.E-03,5.324.E-03,8.076.E-04,9.57.E+00,m3H2Oe/대,2.42.E-01,1.14.E-02,9.32.E+00,2.26.E-03,2019-02-22,2022-02-21,,,,
16,한국타올기산업(주),207-81-29548,환경성적,2019-018,에너지사용,전기 손 건조기(HTM-337),4.18.E+00,kgSbe/대,5.17.E-01,4.91.E-03,3.65.E+00,1.45.E-03,6.23.E+02,kgCO2e/대,3.69.E+01,7.47.E-01,5.78.E+02,7.64.E+00,5.38.E-06,kgCFC-11e/대,5.18.E-06,1.49.E-07,1.60.E-08,3.10.E-08,1.47.E+00,kgSO2e/대,4.91.E-01,2.55.E-03,9.77.E-01,3.35.E-03,2.09.E-01,kgPO43e/대,1.77.E-02,4.30.E-04,1.82.E-01,9.34.E-03,7.34.E-02,kgC2H4e/개,6.754.E-02,9.518.E-04,4.114.E-03,7.426.E-04,7.44.E+00,m3H2Oe/대,2.26.E-01,1.03.E-02,7.20.E+00,2.22.E-03,2019-02-22,2022-02-21,,,,
17,피피아이파이프(주) ,215-86-47751,저탄소제품,2019-020,생산재,V형관(양변기전용),1.56E-02,kgSbe/kg,1.39.E-02,1.78E-03,-,-,1.37.E+00,kgCO2e/kg,1.08.E+00,2.81.E-01,-,-,2.53.E-08,kgCFC-11e/kg,2.50.E-08,3.70.E-10,-,-,3.96.E-03,kgSO2e/kg,3.48.E-03,4.84.E-04,-,-,5.40.E-04,kgPO43-e/kg,3.75.E-04,1.65.E-04,-,-,1.67.E-03,kgC2H4e/kg,1.67.E-03,5.14.E-06,-,-,7.46.E-03,m3H2Oe/kg,3.98.E-03,3.49.E-03,-,-,2019-02-22,2022-02-21,,,,
18,피피아이파이프(주) ,215-86-47751,저탄소제품,2019-021,생산재,원터치 2040 방음관,2.27.E-03,kgSbe/kg,4.85.E-04,1.78.E-03,-,-,8.21.E-01,kgCO2e/kg,5.39.E-01,2.81.E-01,-,-,1.18.E-08,kgCFC-11e/kg,1.14.E-08,3.70.E-10,-,-,1.29.E-02,kgSO2e/kg,1.25.E-02,4.84.E-04,-,-,8.46.E-04,kgPO43-e/kg,6.82.E-04,1.65.E-04,-,-,1.21.E-03,kgC2H4e/kg,1.21.E-03,5.14.E-06,-,-,5.29.E-03,m3H2Oe/kg,1.80.E-03,3.49.E-03,-,-,2019-02-22,2022-02-21,,,,
19,(주)디아이디,220-85-09219,환경성적,2019-022,생산재,Colors,3.39.E-03,kgSbe/m2,3.02.E-03,3.72.E-04,-,-,4.59.E-01,kgCO2e/m2,4.09.E-01,5.01.E-02,-,-,3.90.E-06,kgCFC-11e/m2,3.89.E-06,3.19.E-09,-,-,1.82.E-03,kgSO2e/m2,1.55.E-03,2.70.E-04,-,-,3.13.E-04,kgPO43e/m2,2.26.E-04,8.69.E-05,-,-,1.25.E-03,kgC2H4e/m2,7.57.E-04,4.95.E-04,-,-,2.10.E-02,m3H2Oe/m2,2.10.E-02,2.51.E-05,-,-,2019-02-22,2022-02-21,,,,
20,(주)디아이디,220-85-09219,환경성적,2019-025,생산재,D&D,5.56.E-03,kgSbe/m2,3.11.E-03,2.44.E-03,-,-,7.58.E-01,kgCO2e/m2,4.29.E-01,3.29.E-01,-,-,3.92.E-06,kgCFC-11e/m2,3.90.E-06,1.77.E-08,-,-,3.31.E-03,kgSO2e/m2,1.71.E-03,1.60.E-03,-,-,4.86.E-04,kgPO43e/m2,2.42.E-04,2.44.E-04,-,-,1.63.E-03,kgC2H4e/m2,7.90.E-04,8.44.E-04,-,-,2.23.E-02,m3H2Oe/m2,2.15.E-02,8.48.E-04,-,-,2019-02-22,2022-02-21,,,,
21,(주)엘엑스하우시스,107-87-18122,저탄소제품,2019-026,생산재,"LGM500(무기질 시멘트 OA)[500x500x23T, R형]",1.36.E-02,kgSbe/개,7.71.E-03,5.89.E-03,-,-,5.34.E+00,kgCO2e/개,4.35.E+00,9.90.E-01,-,-,1.44.E-07,kgCFC-11e/개,1.39.E-07,5.76.E-09,-,-,1.69.E-02,kgSO2e/개,7.34.E-03,9.52.E-03,-,-,1.57.E-03,kgPO43-e/개,1.13.E-03,4.44.E-04,-,-,3.32.E-03,kgC2H4e/개,2.91.E-03,4.10.E-04,-,-,2.48.E-02,m3H2Oe/개,2.33.E-02,1.43.E-03,-,-,2019-02-22,2022-02-21,,,,
22,(주)엘엑스하우시스,107-87-18122,저탄소제품,2019-027,생산재,"LGM500G(무기질 황산칼슘 OA)[500x500x26T, SP형]",3.04.E-02,kgSbe/개,1.66.E-02,1.38.E-02,-,-,7.23.E+00,kgCO2e/개,4.93.E+00,2.30.E+00,-,-,5.74.E-07,kgCFC-11e/개,5.05.E-07,6.88.E-08,-,-,3.22.E-02,kgSO2e/개,1.57.E-02,1.66.E-02,-,-,3.46.E-03,kgPO43-e/개,2.25.E-03,1.21.E-03,-,-,8.18.E-03,kgC2H4e/개,6.63.E-03,1.55.E-03,-,-,6.10.E-02,m3H2Oe/개,5.68.E-02,4.16.E-03,-,-,2019-02-22,2022-02-21,,,,
