환경성적표지 인증제품 유효현황(2021.12.22. 기준),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"○ 환경성적표지 유효현황 : 323개 기업, 1455개 제품(저탄소제품 95개 기업, 294개 제품 포함)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,자원발자국,,,,,,탄소발자국,,,,,,오존층영향,,,,,,산성비,,,,,,부영양화,,,,,,광화학 스모그,,,,,,물발자국,,,,,,,,,,,
연번,기업명,사업자등록번호,영향범주,인증번호,제품군,인증제품명,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,총량,단위,제조전,제조,사용,폐기,시작,종료,,,,
190,아세아시멘트(주),220-88-64630,환경성적,2019-189,생산재,레디믹스트 콘크리트[25-27-150],1.06.E+00,kgSbe/m3,1.05.E+00,8.97.E-03,-,-,2.78.E+02,kgCO2e/m3,2.76.E+02,1.44.E+00,-,-,5.00.E-06,kgCFC-11e/m3,5.00.E-06,4.69.E-09,-,-,3.41.E-01,kgSO2e/m3,3.38.E-01,3.23.E-03,-,-,3.96.E-02,kgPO43-e/m3,3.91.E-02,4.85.E-04,-,-,2.05.E-01,kgC2H4e/m3,2.04.E-01,1.31.E-03,-,-,6.86.E-01,m3H2Oe/m3,6.39.E-01,4.74.E-02,-,-,2019-10-25,2022-10-24,,,,
191,아세아시멘트(주),220-88-64630,환경성적,2019-190,생산재,레디믹스트 콘크리트[25-24-150],9.50.E-01,kgSbe/m3,9.41.E-01,8.86.E-03,-,-,2.49.E+02,kgCO2e/m3,2.47.E+02,1.43.E+00,-,-,4.97.E-06,kgCFC-11e/m3,4.97.E-06,4.70.E-09,-,-,3.12.E-01,kgSO2e/m3,3.09.E-01,3.20.E-03,-,-,3.67.E-02,kgPO43-e/m3,3.63.E-02,4.80.E-04,-,-,1.85.E-01,kgC2H4e/m3,1.84.E-01,1.33.E-03,-,-,6.53.E-01,m3H2Oe/m3,6.03.E-01,4.95.E-02,-,-,2019-10-25,2022-10-24,,,,
192,아세아시멘트(주),220-88-64630,환경성적,2019-191,생산재,레디믹스트 콘크리트[25-21-150],9.35.E-01,kgSbe/m3,9.20.E-01,1.47.E-02,-,-,2.44.E+02,kgCO2e/m3,2.42.E+02,2.41.E+00,-,-,5.14.E-06,kgCFC-11e/m3,5.14.E-06,4.51.E-09,-,-,3.07.E-01,kgSO2e/m3,3.02.E-01,5.06.E-03,-,-,3.62.E-02,kgPO43-e/m3,3.54.E-02,7.90.E-04,-,-,1.84.E-01,kgC2H4e/m3,1.81.E-01,3.41.E-03,-,-,6.88.E-01,m3H2Oe/m3,6.09.E-01,7.93.E-02,-,-,2019-10-25,2022-10-24,,,,
193,(주)포스코,506-81-00017,환경성적,2019-192,생산재,전기아연도금강판(Zn아연도금강판),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-25,2022-10-24,,,,
194,(주)포스코,506-81-00017,환경성적,2019-193,생산재,산세강판(고장력강),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-25,2022-10-24,,,,
195,(주)포스코,506-81-00017,환경성적,2019-194,생산재,용융아연도금강판(고장력강),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-25,2022-10-24,,,,
196,(주)포스코,506-81-00017,환경성적,2019-195,생산재,합금화용융아연도금강판(고장력강),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-25,2022-10-24,,,,
197,(주)포스코,506-81-00017,환경성적,2019-196,생산재,스테인레스(페라이트계),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-25,2022-10-24,,,,
198,현대제철(주),121-81-10385,환경성적,2019-158,생산재,형강(무늬 H형강),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-21,2022-09-26,,,,
199,현대제철(주),121-81-10385,환경성적,2019-158,생산재,형강(H형강 말뚝),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-21,2022-09-26,,,,
200,현대제철(주),121-81-10385,환경성적,2019-158,생산재,형강(경량 H형강),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-21,2022-09-26,,,,
201,현대제철(주),121-81-10385,환경성적,2019-158,생산재,형강(I형강),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-21,2022-09-26,,,,
202,현대제철(주),121-81-10385,환경성적,2019-158,생산재,형강(광산지보용 I형강),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-21,2022-09-26,,,,
203,현대제철(주),121-81-10385,환경성적,2019-158,생산재,형강(ㄷ형강),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-21,2022-09-26,,,,
204,현대제철(주),121-81-10385,환경성적,2019-158,생산재,형강(평형채널),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-21,2022-09-26,,,,
205,현대제철(주),121-81-10385,환경성적,2019-158,생산재,형강(강널말뚝),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-21,2022-09-26,,,,
206,현대제철(주),121-81-10385,환경성적,2019-158,생산재,형강(등변 ㄱ형강),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-21,2022-09-26,,,,
207,현대제철(주),121-81-10385,환경성적,2019-158,생산재,형강(부등변 ㄱ형강),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-21,2022-09-26,,,,
208,현대제철(주),121-81-10385,환경성적,2019-158,생산재,형강(부등변 부등후 ㄱ형강),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-21,2022-09-26,,,,
209,현대제철(주),121-81-10385,환경성적,2019-158,생산재,형강(철도레일),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-21,2022-09-26,,,,
210,현대제철(주),121-81-10385,환경성적,2019-158,생산재,형강(Trackshoe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-21,2022-09-26,,,,
211,현대제철(주),121-81-10385,환경성적,2019-159,생산재,나사형 철근,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-21,2022-09-26,,,,
212,(주)하우테크,650-88-00365,저탄소제품,2019-197,생산재,HT 페놀폼보드[1㎥],2.36.E+00,kgSbe/m3,2.27.E+00,8.69.E-02,-,-,1.55.E+02,kgCO2e/m3,1.27.E+02,2.76.E+01,-,-,6.41.E-05,kgCFC-11e/m3,6.16.E-05,2.51.E-06,-,-,6.34.E-01,kgSO2e/m3,5.62.E-01,7.20.E-02,-,-,9.24.E-02,kgPO43-e/m3,8.13.E-02,1.11.E-02,-,-,3.44.E-01,kgC2H4e/m3,2.97.E-01,4.69.E-02,-,-,6.14.E-01,m3H2Oe/m3,5.13.E-01,1.01.E-01,-,-,2019-11-28,2022-11-27,,,,
213,선일공업(주),130-85-03213,환경성적,2019-198,생산재,레디믹스트 콘크리트[25-24-150],8.37.E-01,kgSbe/m3,8.29.E-01,8.08.E-03,-,-,2.06.E+02,kgCO2e/m3,2.05.E+02,1.30.E+00,-,-,1.04.E-05,kgCFC-11e/m3,1.04.E-05,7.83.E-09,-,-,3.24.E-01,KgSO2e/m3,3.20.E-01,3.43.E-03,-,-,4.20.E-02,kgPO43-e/m3,4.16.E-02,4.60.E-04,-,-,1.82.E-01,kgC2H4e/m3,1.80.E-01,1.45.E-03,-,-,6.74.E-01,m3H2Oe/m3,6.61.E-01,1.28.E-02,-,-,2019-11-28,2022-11-27,,,,
214,선일공업(주),130-85-03213,환경성적,2019-199,생산재,레디믹스트 콘크리트[25-21-150],8.54.E-01,kgSbe/m3,8.45.E-01,8.33.E-03,-,-,2.11.E+02,kgCO2e/m3,2.09.E+02,1.35.E+00,-,-,1.05.E-05,kgCFC-11e/m3,1.05.E-05,7.86.E-09,-,-,3.29.E-01,KgSO2e/m3,3.26.E-01,3.52.E-03,-,-,4.27.E-02,kgPO43-e/m3,4.22.E-02,4.74.E-04,-,-,1.85.E-01,kgC2H4e/m3,1.84.E-01,1.58.E-03,-,-,6.83.E-01,m3H2Oe/m3,6.70.E-01,1.30.E-02,-,-,2019-11-28,2022-11-27,,,,
215,선일공업(주),130-85-03213,환경성적,2019-200,생산재,레디믹스트 콘크리트[25-27-150],9.11.E-01,kgSbe/m3,9.03.E-01,7.94.E-03,-,-,2.26.E+02,kgCO2e/m3,2.25.E+02,1.28.E+00,-,-,1.05.E-05,kgCFC-11e/m3,1.05.E-05,7.81.E-09,-,-,3.44.E-01,KgSO2e/m3,3.41.E-01,3.38.E-03,-,-,4.41.E-02,kgPO43-e/m3,4.36.E-02,4.52.E-04,-,-,1.95.E-01,kgC2H4e/m3,1.94.E-01,1.35.E-03,-,-,6.96.E-01,m3H2Oe/m3,6.83.E-01,1.27.E-02,-,-,2019-11-28,2022-11-27,,,,
216,선일공업(주),130-85-03213,환경성적,2019-201,생산재,레디믹스트 콘크리트[25-35-150],1.15.E+00,kgSbe/m3,1.14.E+00,8.87.E-03,-,-,2.88.E+02,kgCO2e/m3,2.86.E+02,1.44.E+00,-,-,1.13.E-05,kgCFC-11e/m3,1.13.E-05,7.94.E-09,-,-,4.14.E-01,KgSO2e/m3,4.11.E-01,3.72.E-03,-,-,5.17.E-02,kgPO43-e/m3,5.12.E-02,5.04.E-04,-,-,2.41.E-01,kgC2H4e/m3,2.39.E-01,1.92.E-03,-,-,7.94.E-01,m3H2Oe/m3,7.80.E-01,1.35.E-02,-,-,2019-11-28,2022-11-27,,,,
217,선일기업(주),299-88-00194,환경성적,2019-202,생산재,레디믹스트 콘크리트[25-24-150],8.48.E-01,kgSbe/m3,8.40.E-01,8.58.E-03,-,-,2.17.E+02,kgCO2e/m3,2.16.E+02,1.37.E+00,-,-,6.95.E-06,kgCFC-11e/m3,6.95.E-06,3.58.E-09,-,-,2.98.E-01,KgSO2e/m3,2.95.E-01,2.85.E-03,-,-,3.66.E-02,kgPO43-e/m3,3.62.E-02,4.52.E-04,-,-,1.72.E-01,kgC2H4e/m3,1.72.E-01,5.08.E-04,-,-,5.91.E-01,m3H2Oe/m3,5.75.E-01,1.58.E-02,-,-,2019-11-28,2022-11-27,,,,
218,선일기업(주),299-88-00194,환경성적,2019-203,생산재,레디믹스트 콘크리트[25-27-150],9.34.E-01,kgSbe/m3,9.26.E-01,8.44.E-03,-,-,2.39.E+02,kgCO2e/m3,2.38.E+02,1.34.E+00,-,-,7.38.E-06,kgCFC-11e/m3,7.38.E-06,3.56.E-09,-,-,3.25.E-01,KgSO2e/m3,3.22.E-01,2.80.E-03,-,-,3.96.E-02,kgPO43-e/m3,3.92.E-02,4.45.E-04,-,-,1.89.E-01,kgC2H4e/m3,1.89.E-01,4.20.E-04,-,-,6.31.E-01,m3H2Oe/m3,6.15.E-01,1.57.E-02,-,-,2019-11-28,2022-11-27,,,,
219,선일기업(주),299-88-00194,환경성적,2019-204,생산재,레디믹스트 콘크리트[25-30-150],9.41.E-01,kgSbe/m3,9.33.E-01,8.73.E-03,-,-,2.37.E+02,kgCO2e/m3,2.35.E+02,1.39.E+00,-,-,8.84.E-06,kgCFC-11e/m3,8.84.E-06,3.58.E-09,-,-,3.42.E-01,KgSO2e/m3,3.39.E-01,2.89.E-03,-,-,4.31.E-02,kgPO43-e/m3,4.27.E-02,4.60.E-04,-,-,1.93.E-01,kgC2H4e/m3,1.93.E-01,5.22.E-04,-,-,7.10.E-01,m3H2Oe/m3,6.94.E-01,1.60.E-02,-,-,2019-11-28,2022-11-27,,,,
220,선일기업(주),299-88-00194,환경성적,2019-205,생산재,레디믹스트 콘크리트[25-35-150],1.12.E+00,kgSbe/m3,1.11.E+00,8.44.E-03,-,-,2.86.E+02,kgCO2e/m3,2.85.E+02,1.34.E+00,-,-,8.29.E-06,kgCFC-11e/m3,8.29.E-06,3.57.E-09,-,-,3.81.E-01,KgSO2e/m3,3.78.E-01,2.81.E-03,-,-,4.60.E-02,kgPO43-e/m3,4.55.E-02,4.45.E-04,-,-,2.25.E-01,kgC2H4e/m3,2.24.E-01,4.66.E-04,-,-,7.13.E-01,m3H2Oe/m3,6.98.E-01,1.56.E-02,-,-,2019-11-28,2022-11-27,,,,
221,한국유에스지보랄(주),417-81-17256,저탄소제품,C-2016-Ⅱ-006,생산재,일반석고보드[9.5mm],6.62.E-03,kgSbe/m2,1.60.E-03,5.03.E-03,-,-,1.15.E+00,kgCO2e/m2,2.33.E-01,9.19.E-01,-,-,2.53.E-08,kgCFC-11e/m2,2.41.E-08,1.18.E-09,-,-,3.19.E-03,kgSO2e/m2,1.07.E-03,2.11.E-03,-,-,5.10.E-04,kgPO43-e/m2,2.16.E-04,2.94.E-04,-,-,4.84.E-03,kgC2H4e/m2,2.01.E-04,4.64.E-03,-,-,7.36.E-03,m3H2Oe/m2,1.55.E-03,5.82.E-03,-,-,2019-12-23,2022-12-22,,,,
222,한국유에스지보랄(주),417-81-17256,환경성적,2019-206,생산재,시트락 일반석고보드[9.5mm],,,,,,,1.17.E+00,kgCO2e/m2,3.06.E-01,8.63.E-01,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-23,2022-12-22,,,,
223,(주)탑프라,125-81-32038,환경성적,C-2016-Ⅰ-053,생산재,탑씰 966 소시지형,,,,,,,1.09.E+00,kgCO2e/개,1.05.E+00,4.52.E-02,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-15,2022-11-14,,,,
224,(주)탑프라,125-81-32038,환경성적,C-2016-Ⅰ-054,생산재,탑씰 1002 소시지형,,,,,,,1.15.E+00,kgCO2e/개,1.11.E+00,4.56.E-02,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-15,2022-11-14,,,,
225,(주)포스코,506-81-00017,저탄소제품,2019-207,생산재,열연강판(구조용),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-28,2022-11-27,,,,
226,(주)케이씨씨,214-81-70045,저탄소제품,C-2017-Ⅱ-001,생산재,KCC 석고텍스 PLUS,3.43.E-02,kgSbe/box,8.20.E-03,2.61.E-02,-,-,6.38.E+00,kgCO2e/box,1.68.E+00,4.69.E+00,-,-,1.78.E-07,kgCFC-11e/box,1.72.E-07,6.37.E-09,-,-,1.52.E-02,kgSO2e/box,4.67.E-03,1.05.E-02,-,-,4.05.E-03,kgPO43-e/box,2.54.E-03,1.51.E-03,-,-,2.29.E-02,kgC2H4e/box,1.56.E-03,2.13.E-02,-,-,4.68.E-02,m3H2Oe/box,2.03.E-02,2.65.E-02,-,-,2020-02-24,2023-02-23,,,,
227,(주)엘지화학,107-81-98139,환경성적,C-2013-Ⅰ-031,생산재,SAP(LG-SAP),,,,,,,2.05.E+00,kgCO2e/kg,1.78.E+00,2.65.E-01,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-28,2022-11-27,,,,
228,고것참식품(주),117-81-24916,환경성적,2019-208,비내구재,피코크 초마짬뽕[1240g],1.86.E-02,kgSbe/개,7.54.E-03,1.10.E-02,-,3.43.E-05,3.10.E+00,kgCO2e/개,1.33.E+00,1.73.E+00,-,4.26.E-02,1.93.E-07,kgCFC-11e/개,8.59.E-08,1.07.E-07,-,7.43.E-10,8.46.E-03,KgSO2e/개,5.32.E-03,3.09.E-03,-,5.20.E-05,6.25.E-03,kgPO43-e/개,5.57.E-03,5.67.E-04,-,1.12.E-04,7.94.E-04,kgC2H4e/개,6.77.E-04,1.01.E-04,-,1.62.E-05,1.62.E-01,m3H2Oe/개,1.37.E-01,2.44.E-02,-,3.29.E-05,2019-11-28,2022-11-27,,,,
229,(주)달구지푸드,503-81-81952,환경성적,2019-212,비내구재,피코크 피콕포차 훈제막창[600g],1.71.E-02,kgSbe/개,2.73.E-03,1.44.E-02,-,3.10.E-05,3.70.E+00,kgCO2e/개,4.22.E-01,3.25.E+00,-,2.73.E-02,1.33.E-07,kgCFC-11e/개,1.08.E-07,2.40.E-08,-,6.66.E-10,9.33.E-03,KgSO2e/개,3.10.E-03,6.18.E-03,-,4.80.E-05,3.03.E-03,kgPO43-e/개,1.76.E-03,1.18.E-03,-,8.18.E-05,1.13.E-03,kgC2H4e/개,8.96.E-04,2.23.E-04,-,1.59.E-05,4.21.E-02,m3H2Oe/개,4.11.E-03,3.79.E-02,-,3.00.E-05,2019-11-28,2022-11-27,,,,
230,(주)달구지푸드,503-81-81952,환경성적,2019-213,비내구재,피코크 피콕포차 소불막창[150g],4.88.E-03,kgSbe/개,2.08.E-03,2.79.E-03,-,1.66.E-05,7.35.E-01,kgCO2e/개,2.59.E-01,4.57.E-01,-,1.90.E-02,1.24.E-03,kgCFC-11e/개,1.24.E-03,7.13.E-09,-,3.59.E-10,2.15.E-03,KgSO2e/개,1.30.E-03,8.32.E-04,-,2.54.E-05,5.00.E-04,kgPO43-e/개,2.59.E-04,1.90.E-04,-,5.13.E-05,7.24.E-04,kgC2H4e/개,6.69.E-04,4.69.E-05,-,8.02.E-06,1.20.E-02,m3H2Oe/개,4.62.E-03,7.39.E-03,-,1.60.E-05,2019-11-28,2022-11-27,,,,
231,(주)사옹원,118-81-12107,환경성적,2019-214,비내구재,피코크 묵은지김치전[390g],7.17.E-03,kgSbe/개,1.47.E-03,5.68.E-03,-,1.76.E-05,1.25.E+00,kgCO2e/개,3.44.E-01,8.86.E-01,-,1.64.E-02,1.48.E-04,kgCFC-11e/개,1.47.E-04,1.71.E-08,-,3.79.E-10,4.20.E-03,KgSO2e/개,2.54.E-03,1.64.E-03,-,2.72.E-05,3.00.E-03,kgPO43-e/개,2.66.E-03,2.93.E-04,-,4.81.E-05,3.22.E-04,kgC2H4e/개,2.51.E-04,6.17.E-05,-,8.90.E-06,4.14.E-02,m3H2Oe/개,2.95.E-02,1.20.E-02,-,1.70.E-05,2019-11-28,2022-11-27,,,,
232,(주)사옹원,118-81-12107,환경성적,2019-215,비내구재,피코크 해물부추전 [390g],6.93.E-03,kgSbe/개,1.25.E-03,5.66.E-03,-,1.76.E-05,1.30.E+00,kgCO2e/개,4.00.E-01,8.83.E-01,-,1.64.E-02,1.03.E-02,kgCFC-11e/개,1.03.E-02,1.68.E-08,-,3.78.E-10,4.80.E-03,KgSO2e/개,3.14.E-03,1.63.E-03,-,2.72.E-05,2.59.E-03,kgPO43-e/개,2.25.E-03,2.92.E-04,-,4.80.E-05,4.75.E-04,kgC2H4e/개,4.07.E-04,5.94.E-05,-,8.89.E-06,3.51.E-01,m3H2Oe/개,3.39.E-01,1.19.E-02,-,1.70.E-05,2019-11-28,2022-11-27,,,,
233,소이빈네이처제2공장,123-25-30362,환경성적,2019-216,비내구재,파주장단콩순두부[350g],1.19.E-03,kgSbe/개,1.70.E-04,1.02.E-03,-,6.40.E-07,1.69.E-01,kgCO2e/개,2.86.E-02,1.38.E-01,-,1.94.E-03,1.39.E-08,kgCFC-11e/개,2.37.E-09,1.15.E-08,-,1.44.E-11,5.56.E-04,KgSO2e/개,9.20.E-05,4.63.E-04,-,8.67.E-07,4.62.E-04,kgPO43-e/개,3.91.E-04,6.62.E-05,-,4.04.E-06,1.16.E-04,kgC2H4e/개,2.82.E-05,8.72.E-05,-,1.77.E-07,1.42.E-03,m3H2Oe/개,1.13.E-04,1.30.E-03,-,5.82.E-07,2019-11-28,2022-11-27,,,,
234,소이빈네이처제2공장,123-25-30362,환경성적,2019-217,비내구재,제주콩두부[600g],3.23.E-03,kgSbe/개,9.99.E-04,2.23.E-03,-,4.12.E-06,4.57.E-01,kgCO2e/개,1.19.E-01,3.05.E-01,-,3.31.E-02,3.77.E-08,kgCFC-11e/개,9.26.E-09,2.84.E-08,-,8.32.E-11,1.39.E-03,KgSO2e/개,3.71.E-04,1.01.E-03,-,9.55.E-06,1.43.E-03,kgPO43-e/개,1.25.E-03,1.51.E-04,-,3.48.E-05,5.85.E-04,kgC2H4e/개,3.75.E-04,2.07.E-04,-,1.62.E-06,6.08.E-03,m3H2Oe/개,5.00.E-04,5.58.E-03,-,6.57.E-06,2019-11-28,2022-11-27,,,,
235,(주)웰크론헬스케어,121-81-55266,환경성적,2019-222,비내구재,노브랜드 순면감촉 팬티라이너 일반,5.32.E-03,kgSbe/개,4.46.E-03,8.19.E-04,-,4.08.E-05,6.85.E-01,kgCO2e/개,3.81.E-01,1.29.E-01,-,1.75.E-01,3.35.E-08,kgCFC-11e/개,3.00.E-08,2.62.E-09,-,8.55.E-10,1.33.E-03,KgSO2e/개,1.01.E-03,2.46.E-04,-,7.69.E-05,2.00.E-03,kgPO43-e/개,1.66.E-03,1.16.E-04,-,2.26.E-04,1.02.E-03,kgC2H4e/개,9.88.E-04,1.83.E-05,-,1.80.E-05,6.39.E-03,m3H2Oe/개,4.73.E-03,1.60.E-03,-,5.10.E-05,2019-11-28,2022-11-27,,,,
236,(주)웰크론헬스케어,121-81-55266,환경성적,2019-223,비내구재,노브랜드 순면감촉 팬티라이너 롱,5.02.E-03,kgSbe/개,4.05.E-03,9.26.E-04,-,4.51.E-05,7.02.E-01,kgCO2e/개,3.49.E-01,1.46.E-01,-,2.08.E-01,3.12.E-08,kgCFC-11e/개,2.75.E-08,2.82.E-09,-,9.43.E-10,1.29.E-03,KgSO2e/개,9.28.E-04,2.73.E-04,-,8.68.E-05,1.86.E-03,kgPO43-e/개,1.51.E-03,8.49.E-05,-,2.60.E-04,9.34.E-04,kgC2H4e/개,8.95.E-04,1.93.E-05,-,1.97.E-05,6.18.E-03,m3H2Oe/개,4.30.E-03,1.83.E-03,-,5.77.E-05,2019-11-28,2022-11-27,,,,
237,(주)한생,313-81-16805,환경성적,2019-224,비내구재,피코크 제주산 참깨로 짜낸 참기름[250mL],1.36.E-02,kgSbe/개,1.14.E-02,2.11.E-03,-,2.85.E-05,2.34.E+00,kgCO2e/개,2.01.E+00,3.30.E-01,-,8.22.E-03,2.52.E-07,kgCFC-11e/개,2.40.E-07,1.12.E-08,-,6.61.E-10,2.20.E-02,KgSO2e/개,2.13.E-02,6.40.E-04,-,7.76.E-05,6.67.E-03,kgPO43-e/개,6.50.E-03,1.45.E-04,-,2.35.E-05,2.42.E-03,kgC2H4e/개,2.34.E-03,6.89.E-05,-,9.42.E-06,5.59.E-02,m3H2Oe/개,4.92.E-02,6.64.E-03,-,1.50.E-05,2019-11-28,2022-11-27,,,,
238,(주)한생,313-81-16805,환경성적,2019-225,비내구재,피코크 국산 들깨로 짜낸 들기름[250mL],1.02.E-02,kgSbe/개,8.94.E-03,1.27.E-03,-,2.84.E-05,1.74.E+00,kgCO2e/개,1.53.E+00,1.98.E-01,-,8.17.E-03,1.87.E-07,kgCFC-11e/개,1.77.E-07,8.56.E-09,-,6.59.E-10,1.62.E-02,KgSO2e/개,1.57.E-02,4.07.E-04,-,7.74.E-05,4.87.E-03,kgPO43-e/개,4.77.E-03,7.67.E-05,-,2.33.E-05,1.82.E-03,kgC2H4e/개,1.75.E-03,5.50.E-05,-,9.38.E-06,4.04.E-02,m3H2Oe/개,3.60.E-02,4.37.E-03,-,1.49.E-05,2019-11-28,2022-11-27,,,,
239,프라임에너텍(주),126-86-44226,저탄소제품,2019-226,생산재,저방사복합단열재(프라임셀),8.45.E-01,kgSbe/m3,8.21.E-01,2.40.E-02,-,-,8.89.E+01,kgCO2e/m3,8.33.E+01,5.66.E+00,-,-,1.38.E-05,kgCFC-11e/m3,1.38.E-05,6.84.E-09,-,-,3.64.E-01,kgSO2e/m3,3.56.E-01,7.72.E-03,-,-,1.56.E-01,kgPO43-e/m3,1.54.E-01,1.63.E-03,-,-,1.26.E-01,kgC2H4e/m3,1.26.E-01,2.58.E-04,-,-,3.74.E-01,m3H2Oe/m3,3.34.E-01,4.01.E-02,-,-,2019-11-28,2022-11-27,,,,
240,프라임에너텍(주),126-86-44226,저탄소제품,2019-227,생산재,저방사복합단열재(프라임셀 준불연),7.65.E-01,kgSbe/m3,7.41.E-01,2.40.E-02,-,-,9.72.E+01,kgCO2e/m3,9.21.E+01,5.08.E+00,-,-,5.95.E-06,kgCFC-11e/m3,5.95.E-06,6.88.E-09,-,-,4.97.E-01,kgSO2e/m3,4.89.E-01,7.67.E-03,-,-,7.03.E-01,kgPO43-e/m3,7.02.E-01,1.53.E-03,-,-,9.53.E-02,kgC2H4e/m3,9.51.E-02,2.60.E-04,-,-,1.62.E+00,m3H2Oe/m3,1.58.E+00,4.00.E-02,-,-,2019-11-28,2022-11-27,,,,
241,하이트진로(주),214-81-00777,환경성적,2019-228,비내구재,자몽에이슬 360mL,1.14.E-03,kgSbe/개,9.03.E-04,2.07.E-04,-,2.91.E-05,2.28.E-01,kgCO2e/개,1.91.E-01,3.21.E-02,-,4.91.E-03,5.18.E-08,kgCFC-11e/개,4.30.E-08,8.11.E-09,-,6.89.E-10,1.65.E-03,KgSO2e/개,1.43.E-03,1.28.E-04,-,8.85.E-05,8.33.E-04,kgPO43-e/개,8.00.E-04,2.06.E-05,-,1.20.E-05,5.24.E-04,kgC2H4e/개,4.37.E-04,7.88.E-05,-,7.92.E-06,1.28.E-03,m3H2Oe/개,5.70.E-04,6.98.E-04,-,1.15.E-05,2019-11-28,2022-11-27,,,,
242,하이트진로(주),214-81-00777,환경성적,2019-229,비내구재,참이슬 오리지널 360mL,9.70.E-04,kgSbe/개,8.10.E-04,1.29.E-04,-,3.00.E-05,2.05.E-01,kgCO2e/개,1.78.E-01,2.12.E-02,-,5.68.E-03,5.08.E-08,kgCFC-11e/개,4.67.E-08,3.39.E-09,-,7.09.E-10,1.75.E-03,KgSO2e/개,1.59.E-03,6.90.E-05,-,9.01.E-05,7.70.E-04,kgPO43-e/개,7.45.E-04,1.11.E-05,-,1.38.E-05,4.91.E-04,kgC2H4e/개,4.31.E-04,5.11.E-05,-,8.48.E-06,1.13.E-03,m3H2Oe/개,6.29.E-04,4.93.E-04,-,1.25.E-05,2019-11-28,2022-11-27,,,,
243,하이트진로(주),214-81-00777,환경성적,2019-230,비내구재,참이슬 오리지널 640mL,5.67.E-03,kgSbe/개,5.42.E-03,2.38.E-04,-,9.10.E-06,4.64.E-01,kgCO2e/개,4.15.E-01,3.83.E-02,-,1.07.E-02,3.07.E-07,kgCFC-11e/개,2.99.E-07,7.95.E-09,-,2.01.E-10,3.90.E-03,KgSO2e/개,3.75.E-03,1.42.E-04,-,1.27.E-05,1.66.E-03,kgPO43-e/개,1.60.E-03,2.27.E-05,-,3.40.E-05,2.15.E-03,kgC2H4e/개,2.04.E-03,1.04.E-04,-,3.80.E-06,2.32.E-03,m3H2Oe/개,1.31.E-03,1.00.E-03,-,8.06.E-06,2019-11-28,2022-11-27,,,,
